Offense Case Type,Offense Date,Charges Description,Offense Street Name,Offense Cross Street,Case Closed,Agency,Officer Code,RACE,Defendant Gender
TR,2020-11-02,1:40:00,6th Street,San Jacinto Boulevard,TERM,APD Do Not Use,8140,Black or African American,Male
NT,2020-11-02,19:50:00,242 West 2nd Street,,ACT,APD Do Not Use,7870,White,Male
NT,2020-11-03,13:52:00,600 Block Brazos Street,,IN,APD Do Not Use,7433,Hispanic or Latino,Male
NT,2020-11-04,2:05:00,500 Block East 6th Street,,ACT,APD Do Not Use,5187,Black or African American,Male
NT,2020-11-04,21:30:00,West 4th Street And,Guadalupe Street,TERM,APD Do Not Use,6781,White,Male
NT,2020-11-05,11:30:00,500 Block East 6th Street,,ACT,APD Do Not Use,5193,,
NT,2020-11-05,15:25:00,500 Block Congress Avenue,,IN,APD Do Not Use,7284,White,Male
NT,2020-11-06,0:36:00,1213 Sabine Street,,ACT,APD Do Not Use,8940,White,Male
NT,2020-11-08,0:00:00,302 East 6th Street,,ACT,APD Do Not Use,8242,Hispanic or Latino,Male
NT,2020-11-08,0:00:00,East 7th Street And,Congress Avenue,ACT,APD Do Not Use,7872,Black or African American,Male
NT,2020-11-08,0:00:00,East 7th Street And,Congress Avenue,ACT,APD Do Not Use,7872,Black or African American,Male
NT,2020-11-08,1:45:00,419 East 6th Street,,TERM,APD Do Not Use,7804,Hispanic or Latino,Female
NT,2020-11-08,20:40:00,601 North Ih 35 Service Road,,ACT,APD Do Not Use,8554,Black or African American,Male
NT,2020-11-08,20:40:00,601 North Ih 35 Service Road,,IN,APD Do Not Use,8554,Black or African American,Male
NT,2020-11-09,21:27:00,600 Block Sabine Street,,ACT,APD Do Not Use,5193,Black or African American,Female
NT,2020-11-09,23:37:00,700 Block West 6th Street,,ACT,APD Do Not Use,7787,Hispanic or Latino,Male
NT,2020-11-11,0:00:00,805 Neches Street,,ACT,APD Do Not Use,7786,White,Male
NT,2020-11-13,2:22:00,300 Block East 7th Street,,IN,APD Do Not Use,7887,Hispanic or Latino,Male
NT,2020-11-13,8:00:00,300 Block East 6th Street,,ACT,APD Do Not Use,3968,White,Male
NT,2020-11-13,14:00:00,700 Block Red River Street,,TERM,APD Do Not Use,3968,Hispanic or Latino,Male
NT,2020-11-14,0:00:00,2800 Block Guadalupe Street,,TERM,APD Do Not Use,7052,White,Male
NT,2020-11-14,2:43:00,710 Trinity Street,,TERM,APD Do Not Use,7945,Hispanic or Latino,Female
NT,2020-11-14,21:49:00,2313 Rio Grande Street,,ACT,APD Do Not Use,8416,White,Male
NT,2020-11-15,1:20:00,E 6TH ST,,TERM,Other Agency,8789,Black or African American,Female
NT,2020-11-15,2:20:00,Neches Street And,East 6th Street,ACT,APD Do Not Use,8750,White,Male
NT,2020-11-16,0:07:00,East 6th Street,Trinity Street,ACT,APD Do Not Use,7245,White,Male
NT,2020-11-16,23:51:00,500 Block Lamar Boulevard,,ACT,APD Do Not Use,7087,White,Male
NT,2020-11-17,15:15:00,600 Block Congress Avenue,,TERM,APD Do Not Use,7796,Black or African American,Male
NT,2020-11-17,15:15:00,600 Block Congress Avenue,,TERM,APD Do Not Use,7796,Black or African American,Male
NT,2020-11-17,22:15:00,823 Congress Avenue,,IN,APD Do Not Use,7849,White,Female
